AL,Alabama,52423,12/14/1819,Montgomery
AK,Alaska,656425,1/3/1959,Juneau
AZ,Arizona,114006,2/14/1912,Phoenix
AR,Arkansas,53182,6/15/1836,Little Rock
CA,California,163707,9/9/1850,Sacramento
CO,Colorado,104100,8/1/1876,Denver
CT,Connecticut,5544,1/9/1788,Hartford
DE,Delaware,1954,12/7/1787,Dover
FL,Florida,65758,3/3/1845,Tallahassee
GA,Georgia,59441,1/2/1788,Atlanta
HI,Hawaii,10932,8/21/1959,Honolulu
ID,Idaho,83574,7/3/1890,Boise
IL,Illinois,57918,12/3/1818,Springfield
IN,Indiana,36420,12/11/1816,Indianapolis
IA,Iowa,56276,12/28/1846,Des Moines
KS,Kansas,82282,1/29/1861,Topeka
KY,Kentucky,40411,6/1/1792,Frankfort
LA,Louisiana,51843,4/30/1812,Baton Rouge
ME,Maine,35387,3/15/1820,Augusta
MD,Maryland,12407,4/28/1788,Annapolis
MA,Massachusetts,10555,2/6/1788,Boston
MI,Michigan,96810,1/26/1837,Lansing
MN,Minnesota,86943,5/11/1858,St. Paul
MS,Mississippi,48434,12/10/1817,Jackson
MO,Missouri,69709,8/10/1821,Jefferson City
MT,Montana,147046,11/8/1889,Helena
NE,Nebraska,77358,3/1/1867,Lincoln
NV,Nevada,110567,10/31/1864,Carson City
NH,New Hampshire,9351,6/21/1788,Concord
NJ,New Jersey,8722,12/18/1787,Trenton
NM,New Mexico,121593,1/6/1912,Santa Fe
NY,New York,54475,7/26/1788,Albany
NC,North Carolina,53821,11/21/1789,Raleigh
ND,North Dakota,70704,11/2/1889,Bismarck
OH,Ohio,44828,3/1/1803,Columbus
OK,Oklahoma,69903,11/16/1907,Oklahoma City
OR,Oregon,98386,2/14/1859,Salem
PA,Pennsylvania,46058,12/12/1787,Harrisburg
RI,Rhode Island,1545,5/29/1790,Providence
SC,South Carolina,32007,5/23/1788,Columbia
SD,South Dakota,77121,11/2/1889,Pierre
TN,Tennessee,42146,6/1/1796,Nashville
TX,Texas,268601,12/29/1845,Austin
UT,Utah,84904,1/4/1896,Salt Lake City
VT,Vermont,9615,3/4/1791,Montpelier
VA,Virginia,42769,6/25/1788,Richmond
WA,Washington,71303,11/11/1889,Olympia
WV,West Virginia,24231,6/20/1863,Charleston
WI,Wisconsin,65503,5/29/1848,Madison
WY,Wyoming,97818,7/10/1890,Cheyenne
DC,District of Columbia,68,,
